order_id,order_date,status,item_id,sku,qty_ordered,price,value,discount_amount,total,category,payment_method,bi_st,cust_id,year,month,ref_num,Name Prefix,First Name,Middle Initial,Last Name,Gender,age,full_name,E Mail,Customer Since,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Discount_Percent
100360250,2020-10-29,complete,584462.0,MEFCUR59ACC78EE5459,2.0,199.9,199.9,0.0,199.9,Men's Fashion,customercredit,Net,40110.0,2020,Oct-2020,184654,Mrs.,Tien,Q,Springs,F,68.0,"Springs, Tien",tien.springs@yahoo.com,10/25/2013,680-31-0122,219-966-6285,Indianapolis,Marion,Indianapolis,IN,46277,Midwest,tqsprings,0.0
100495355,2021-04-29,canceled,803682.0,OTHPCB5AB351EF2864B,4.0,50.0,150.0,0.0,150.0,Others,Easypay_MA,Gross,97116.0,2021,Apr-2021,525933,Mrs.,Aleen,Z,Douthitt,F,72.0,"Douthitt, Aleen",aleen.douthitt@shaw.ca,5/7/1996,550-99-7786,304-635-4316,Booth,Monongalia,Booth,WV,26522,South,azdouthitt,0.0
100528669,2021-06-17,canceled,848906.0,MATSAM5AAB5AEE5DBA7,2.0,2877.0,2877.0,333.93,2543.07,Mobiles & Tablets,Easypay,Gross,62578.0,2021,Jun-2021,547402,Hon.,Christen,U,Evans,F,40.0,"Evans, Christen",christen.evans@gmail.com,5/31/2016,156-23-7509,314-987-3289,Saint Louis,St. Louis (city),Saint Louis,MO,63199,Midwest,cuevans,11.606882168925964
100361718,2020-11-05,refund,586872.0,MEFMUN59ACE5A1733DA,2.0,49.9,49.9,0.0,49.9,Men's Fashion,customercredit,Valid,56271.0,2020,Nov-2020,478234,Mr.,Sal,Z,Azar,M,28.0,"Azar, Sal",sal.azar@shell.com,10/12/1996,394-33-4622,201-528-9149,Voorhees,Camden,Voorhees,NJ,8043,Northeast,szazar,0.0
100458625,2021-03-24,canceled,753549.0,MATINF5A7D8FD8D4881,2.0,1257.3,1257.3,225.73,1031.57,Mobiles & Tablets,Easypay,Gross,89626.0,2021,Mar-2021,709305,Hon.,Bill,B,Lanford,M,73.0,"Lanford, Bill",bill.lanford@verizon.net,7/8/1987,546-99-4899,505-868-8792,Albuquerque,Bernalillo,Albuquerque,NM,87140,West,bblanford,17.953551260637873
100478594,2021-04-16,canceled,782897.0,MATSAM5A7D77487B6EF,2.0,1716.0,1716.0,323.0800000000001,1392.9199999999998,Mobiles & Tablets,Payaxis,Gross,94732.0,2021,Apr-2021,653821,Mr.,Greg,J,Helgeson,M,54.0,"Helgeson, Greg",greg.helgeson@yahoo.com,5/24/2017,454-99-8110,406-431-4394,Libby,Lincoln,Libby,MT,59923,West,gjhelgeson,18.82750582750583
100488503,2021-04-26,received,796360.0,DET59F31AB0BCEDF,11.0,47.5,475.0,126.95999999999997,348.04,Superstore,Easypay,Valid,9510.0,2021,Apr-2021,499153,Mr.,Ned,E,Nally,M,59.0,"Nally, Ned",ned.nally@yahoo.ca,1/16/2010,239-99-1980,218-472-9253,Buckman,Morrison,Buckman,MN,56317,Midwest,nenally,26.72842105263157
100375399,2020-12-07,refund,607412.0,KABRUB59ACAE1948102,1.0,14.5,0.0,0.0,0.0,Kids & Baby,cod,Valid,6702.0,2020,Dec-2020,205860,Ms.,Skye,B,Roach,F,54.0,"Roach, Skye",skye.roach@outlook.com,12/8/1999,207-84-0611,225-428-0080,Lake Charles,Calcasieu,Lake Charles,LA,70629,South,sbroach,1.3241379310344827
100432980,2021-01-06,complete,708278.0,MEFWIN59CE3A75A051B,2.0,99.9,99.9,0.0,99.9,Men's Fashion,cod,Net,66873.0,2021,Jan-2021,707354,Ms.,Genny,Q,Wetherington,F,65.0,"Wetherington, Genny",genny.wetherington@bp.com,11/14/2003,631-31-7746,207-932-8482,Springvale,York,Springvale,ME,4083,Northeast,gqwetherington,0.0
100474521,2021-04-11,complete,777059.0,MEFKAR5A7C138CE9EBD-M,2.0,104.0,104.0,0.0,104.0,Men's Fashion,cod,Net,93772.0,2021,Apr-2021,564184,Hon.,Sanjuanita,P,Tuggle,F,55.0,"Tuggle, Sanjuanita",sanjuanita.tuggle@gmail.com,7/2/2010,686-24-1328,202-261-1793,Washington,District of Columbia,Washington,DC,20547,South,sptuggle,0.0
100386894,2020-12-20,complete,628221.0,ALW59F057123CC17,4.0,20.8,62.400000000000006,22.575180000000003,39.82482,Superstore,Easypay,Net,46023.0,2020,Dec-2020,699174,Mrs.,Darlena,F,Moreland,F,56.0,"Moreland, Darlena",darlena.moreland@hotmail.com,6/26/2017,257-99-2642,405-294-8951,Mcalester,Pittsburg,Mcalester,OK,74502,South,dfmoreland,36.17817307692308
100359546,2020-10-25,received,583218.0,MEFKUR59ACC9B4512F3,2.0,84.9,84.9,0.0,84.9,Men's Fashion,cod,Valid,61428.0,2020,Oct-2020,666154,Mrs.,Aleta,D,Annunziata,F,63.0,"Annunziata, Aleta",aleta.annunziata@yahoo.com,5/4/2008,675-48-4073,405-484-0091,Oklahoma City,Oklahoma,Oklahoma City,OK,73169,South,adannunziata,0.0
100520337,2021-06-07,received,837198.0,ROO5AE983F2751EA,2.0,228.0,228.0,33.06,194.94,Superstore,jazzvoucher,Valid,31355.0,2021,Jun-2021,364339,Mr.,Eli,L,Rioux,M,36.0,"Rioux, Eli",eli.rioux@gmail.com,4/14/2012,077-02-3774,262-526-8279,Edgerton,Rock,Edgerton,WI,53534,Midwest,elrioux,14.500000000000002
100377995,2020-12-13,canceled,611504.0,MEFAYB59FAB695BD4A4-L,1.0,69.9,0.0,0.0,0.0,Men's Fashion,Easypay,Gross,66119.0,2020,Dec-2020,141210,Mrs.,Juan,O,Esposito,F,39.0,"Esposito, Juan",juan.esposito@exxonmobil.com,7/23/2017,052-02-1655,302-731-1963,Wilmington,New Castle,Wilmington,DE,19894,South,joesposito,7.153075822603719
100509505,2021-05-05,complete,819053.0,DET5A816ECB84C30,2.0,75.8,75.8,0.0,75.8,Superstore,cod,Net,70602.0,2021,May-2021,137968,Mr.,Charlie,D,Strauser,M,61.0,"Strauser, Charlie",charlie.strauser@bp.com,1/5/2002,610-87-6651,209-901-9012,Robbins,Sutter,Robbins,CA,95676,West,cdstrauser,0.0
100560284,2021-09-19,canceled,901649.0,APPGRE5B67F5009DFA5,2.0,5894.7,5894.7,0.0,5894.7,Appliances,bankalfalah,Gross,114862.0,2021,Sep-2021,321988,Hon.,Renea,P,Conforti,F,48.0,"Conforti, Renea",renea.conforti@bp.com,8/5/1989,006-11-7841,207-726-2932,Bowdoinham,Sagadahoc,Bowdoinham,ME,4008,Northeast,rpconforti,0.0
100535609,2021-06-29,canceled,859553.0,JAZ5A5F32D397D60,4.0,44.6,133.8,46.31099999999999,87.48900000000002,Superstore,Easypay_MA,Gross,25968.0,2021,Jun-2021,486167,Ms.,Dong,T,Hershberger,F,41.0,"Hershberger, Dong",dong.hershberger@aol.com,9/28/2013,580-41-0793,405-915-9128,Wright City,McCurtain,Wright City,OK,74766,South,dthershberger,34.61210762331838
100438537,2021-01-20,order_refunded,718536.0,BAGPRI5A327299C4F97,3.0,0.0,0.0,0.0,0.0,Beauty & Grooming,cod,Valid,10052.0,2021,Jan-2021,844364,Ms.,Jamila,Y,Nalls,F,60.0,"Nalls, Jamila",jamila.nalls@yahoo.com,2/26/1990,118-98-6226,215-316-9981,Harleigh,Luzerne,Harleigh,PA,18225,Northeast,jynalls,0.0
100486881,2021-04-25,canceled,793848.0,MEFZEW5AA236D1348D6-M,2.0,99.9,99.9,0.0,99.9,Men's Fashion,Easypay,Gross,97480.0,2021,Apr-2021,647645,Hon.,Basil,C,Sattler,M,29.0,"Sattler, Basil",basil.sattler@hotmail.com,3/9/1989,552-99-3933,702-525-9660,Sparks,Washoe,Sparks,NV,89432,West,bcsattler,0.0
100459482,2021-03-24,canceled,754535.0,ENTNOB5A14947A21475,2.0,1583.3,1583.3,174.16300000000004,1409.137,Entertainment,easypay_voucher,Gross,89748.0,2021,Mar-2021,712732,Mr.,Wilton,C,Groat,M,46.0,"Groat, Wilton",wilton.groat@aol.com,6/12/2014,242-99-6340,217-713-2713,Easton,Mason,Easton,IL,62633,Midwest,wcgroat,11.000000000000002
100516198,2021-05-28,order_refunded,831117.0,APPSAM5A617F1E6E040,2.0,8937.5,8937.5,0.0,8937.5,Appliances,bankalfalah,Valid,105717.0,2021,May-2021,261887,Mrs.,Karyl,U,Edgar,F,34.0,"Edgar, Karyl",karyl.edgar@hotmail.com,4/26/1991,618-87-0595,303-354-6396,Moffat,Saguache,Moffat,CO,81143,West,kuedgar,0.0
100519703,2021-06-06,canceled,836376.0,MATINF5AE312CA33899,2.0,1385.4,1385.4,147.436,1237.9640000000002,Mobiles & Tablets,jazzvoucher,Gross,89942.0,2021,Jun-2021,326571,Dr.,Dylan,F,Colwell,M,23.0,"Colwell, Dylan",dylan.colwell@aol.com,11/15/2010,246-99-5507,423-731-1626,Lebanon,Wilson,Lebanon,TN,37090,South,dfcolwell,10.642125018045329
